track_id	s_acousticness	s_danceability	s_energy	s_instrumentalness	s_liveness	s_loudness	s_speechiness	s_valence	s_tempo	genre
TRAAAFP128F931B4E3	0.0163	0.751	0.983	2.1e-06	0.0805	-5.909	0.0739	0.944	142.011	Rap
TRAAAHZ128E0799171	0.0146	0.837	0.763	0.0	0.35	-3.861	0.331	0.947	97.028	Rap
TRAAAIR128F1480971	0.00508	0.667	0.894	0.0	0.192	-3.703	0.0489	0.537	111.984	RnB
TRAAAVO128F93133D4	5.54e-05	0.458	0.57	0.000768	0.0988	-9.159	0.0495	0.203	146.609	Pop_Rock
TRAABLR128F423B7E3	0.486	0.513	0.571	0.154	0.879	-8.648	0.0322	0.628	119.336	Pop_Rock
TRAABNV128F425CEE1	0.114	0.647	0.411	0.509	0.0428	-16.578	0.0415	0.64	95.807	New Age
TRAABPQ128F428F0B0	0.00149	0.651	0.698	0.00108	0.121	-6.358	0.0278	0.876	124.037	Latin
TRAACEU128F92C3B82	0.849	0.269	0.206	0.835	0.699	-21.234	0.0359	0.0886	82.706	Jazz
TRAACZK128F4243829	0.0979	0.535	0.712	0.000155	0.0434	-9.272	0.0395	0.849	116.341	Latin
TRAADHS12903CE70A9	0.797	0.532	0.174	0.841	0.108	-19.861	0.0382	0.628	90.0	Jazz
TRAADLX128F1469250	0.807	0.503	0.182	3.8e-05	0.0923	-14.824	0.0302	0.293	102.748	Folk
TRAADMH128F9343E59	0.0197	0.749	0.705	0.139	0.172	-7.062	0.0303	0.727	89.992	Blues
TRAADXK12903CFAE92	0.76	0.742	0.394	0.0	0.0981	-8.563	0.0303	0.727	116.88	Country
TRAAEHK128F92C9C79	0.0749	0.519	0.869	0.0125	0.332	-5.483	0.164	0.777	166.006	Blues
TRAAETC12903CC4839	0.944	0.372	0.206	0.000613	0.116	-13.857	0.0326	0.063	64.873	Vocal
TRAAFKJ12903D02552	0.000534	0.254	0.614	2.53e-06	0.0865	-7.642	0.0373	0.287	127.527	Pop_Rock
TRAAGIU128F931BA5B	0.226	0.637	0.399	0.000483	0.109	-10.641	0.0308	0.433	101.257	Country
TRAAGOC128F425C5AE	0.807	0.462	0.0816	0.845	0.0881	-26.835	0.0333	0.128	127.107	New Age
TRAAHHW128F934134A	0.508	0.678	0.522	0.00668	0.0833	-14.691	0.0388	0.83	88.087	Latin
TRAAHVW128F149005E	0.711	0.702	0.62	0.0	0.127	-5.341	0.0325	0.867	94.636	Latin
TRAAIET128F426F476	0.76	0.483	0.245	0.0139	0.454	-23.982	0.225	0.759	88.406	RnB
TRAAJAC128F148B530	0.962	0.423	0.121	0.000205	0.119	-13.303	0.0324	0.16	93.463	Folk
TRAAJSX128F4275A1D	0.287	0.332	0.329	0.0	0.0875	-15.152	0.0337	0.329	72.178	Latin
TRAAKYE128F93120B4	0.712	0.626	0.244	0.0188	0.0878	-17.44	0.0453	0.899	108.623	Blues
TRAALRZ128F429024E	0.978	0.372	0.191	0.847	0.0692	-22.024	0.0371	0.221	139.713	New Age
TRAAMUY128F4283222	0.716	0.679	0.507	0.0	0.111	-7.334	0.024	0.304	108.939	Pop_Rock
TRAAMWH128F424164B	0.222	0.608	0.635	0.083	0.125	-10.799	0.034	0.741	131.014	Pop_Rock
TRAANLZ128F934EC42	0.983	0.292	0.101	0.868	0.0824	-18.236	0.0398	0.0387	73.384	New Age
TRAANTZ128F92EAEA6	0.735	0.5	0.188	0.0	0.229	-10.39	0.0284	0.178	106.773	RnB
TRAANZP128F425745B	0.108	0.742	0.567	0.0	0.153	-7.405	0.076	0.679	142.793	Reggae
TRAAOGH128F92CA518	0.056	0.62	0.679	1.7e-05	0.339	-6.394	0.0288	0.583	150.972	Pop_Rock
TRAAOLL128F931D7CC	0.649	0.846	0.801	0.9	0.226	-5.142	0.0414	0.985	120.076	International
TRAAORB128F930A97F	0.00893	0.489	0.397	0.000992	0.171	-9.188	0.0236	0.107	94.573	Country
TRAAPXO128F424AB85	0.238	0.519	0.646	0.0	0.147	-9.242	0.0854	0.866	102.911	International
TRAAQBZ128F14A44AE	0.85	0.415	0.0778	8.64e-06	0.365	-20.813	0.0692	0.24	77.247	Vocal
TRAARRM128F42BC439	0.461	0.716	0.511	0.0	0.179	-10.07	0.0284	0.775	115.127	Country
TRAARUN128F932B1A0	0.253	0.747	0.716	0.872	0.247	-10.296	0.027	0.949	128.295	Jazz
TRAATSW128F4263B0E	0.124	0.755	0.733	0.0	0.291	-4.023	0.289	0.599	89.171	Rap
TRAAUED128F423ED67	0.974	0.614	0.0444	3.66e-06	0.114	-19.386	0.0566	0.311	121.387	International
TRAAUGZ128F9307F78	0.556	0.558	0.449	0.00134	0.641	-12.277	0.0298	0.524	97.809	Latin
TRAAVAT128F934F326	0.938	0.519	0.197	0.000188	0.1	-14.822	0.0519	0.467	185.607	Blues
TRAAWLE128F428AB65	0.609	0.434	0.645	0.909	0.892	-8.965	0.0477	0.671	133.393	Jazz
TRAAXLL12903CC4605	0.43	0.835	0.86	0.0	0.182	-3.388	0.341	0.742	91.292	Latin
TRAAXMC128F14A53EA	0.83	0.471	0.269	0.000318	0.0748	-13.823	0.0288	0.759	141.326	Vocal
TRAAXWC128F935915F	0.00114	0.532	0.764	0.914	0.443	-16.171	0.0369	0.868	133.981	Electronic
TRAAYVI128F4286706	0.767	0.652	0.295	0.0	0.0864	-10.934	0.0346	0.417	128.616	Folk
TRABAFJ128F42AF24E	0.0112	0.657	0.931	0.0	0.917	-5.638	0.0346	0.507	112.816	Pop_Rock
TRABAPM128F933A221	0.488	0.544	0.82	0.000471	0.058	-5.774	0.0335	0.892	95.992	Latin
TRABBYP128F932D04E	0.684	0.551	0.439	0.0	0.326	-15.251	0.123	0.754	79.682	Vocal
TRABCLV128F428C59F	0.208	0.459	0.407	1.94e-05	0.17	-11.9	0.0284	0.309	136.196	Country
TRABCOF128F4266098	0.979	0.544	0.163	0.0104	0.103	-16.35	0.0649	0.423	110.892	Vocal
TRABCRG128F42606F1	0.226	0.475	0.59	0.0	0.0596	-8.337	0.105	0.798	165.246	Latin
TRABCSP128F93089E8	0.694	0.492	0.385	0.0	0.251	-11.225	0.188	0.799	198.82	Country
TRABDLT128F422F66B	0.0468	0.622	0.394	0.000232	0.357	-14.272	0.0406	0.427	149.118	Blues
